Project,DefectId,DeprecatedDefectId,IssueReportLink,LinkedToBugTracker,FileCount,LineCount,RelevantTestCount,TriggeringTestCount,StatementCoverage,TimeToFix,Versions,Priority,Dependents,Reproducibility,BugOrFeature,IsRegression,Human patch changes data structures or types?,Human patch changes method signature?,Human patch changes arguments to a function?,Human patch added 1 or more function calls?,Human patch changes conditional?,Human patch adds new variables?,Human patch adds 1 or more if-statements?,Human patch adds 1 or more loops?,Human patch adds a whole new function?,PatchFound:AE,PatchFound:GenProgC,PatchFound:TrpAutoRepair,PatchFound:KaliC,PatchFound:SPR,PatchFound:Prophet,PatchQuality:AE,PatchQuality:GenProgC,PatchQuality:TrpAutoRepair,PatchQuality:KaliC,PatchQuality:SPR,PatchQuality:Prophet
php,2011-11-19-51a4ae6576-bc810a443d,,https://bugs.php.net/bug.php?id=43200,1,1,2,7830,6,NA,1474.90625,1,NA,0,NA,bug,0,0,0,0,0,1,0,0,0,0,1,1,1,NT,NT,NT,NT,NT,NT,NT,NT,NT
php,2011-11-19-eeba0b5681-d3b20b4058,,https://bugs.php.net/bug.php?id=60164,1,1,2,7830,1,69.99,81.342,1,NA,NA,NA,bug,1,0,0,0,0,0,0,0,1,0,1,1,1,NT,NT,NT,NT,NT,NT,NT,NT,NT
php,2011-11-19-eeba0b5681-f330c8ab4e,,https://bugs.php.net/bug.php?id=60164,1,1,1,7830,1,61.42,82.342,1,NA,NA,NA,bug,0,0,0,0,0,0,1,0,0,0,1,1,1,NT,NT,NT,NT,NT,NT,NT,NT,NT
php,2011-11-22-ecc6c335c5-b548293b99,,https://bugs.php.net/bug.php?id=60357,1,1,2,7831,1,76.3,0.030555556,1,NA,0,NA,bug,0,0,0,0,1,1,0,1,0,0,0,0,0,NT,NT,NT,NT,NT,NT,NT,NT,NT
php,2011-11-23-eca88d3064-db0888dfc1,,https://bugs.php.net/bug.php?id=60369,1,1,2,7832,1,35.48,0.034722222,1,NA,0,NA,bug,0,0,0,0,0,1,0,0,0,0,1,1,1,NT,NT,NT,NT,NT,NT,NT,NT,NT
php,2011-11-25-3b1ce022f1-c2ede9a00a,,https://bugs.php.net/bug.php?id=54597,1,1,148,7841,1,25.46,215.3756944,1,NA,0,NA,bug,0,0,1,1,0,1,1,1,0,1,0,0,0,NT,NT,NT,NT,NT,NT,NT,NT,NT
php,2011-11-26-7c2946f80e-dc6ecd21ee,,https://bugs.php.net/bug.php?id=54851,1,1,28,7842,1,25.71,191.6618056,1,NA,0,NA,bug,0,0,0,0,1,0,1,1,0,0,0,0,0,NT,NT,NT,NT,NT,NT,NT,NT,NT
php,2011-12-04-1e6a82a1cf-dfa08dc325,,https://bugs.php.net/bug.php?id=55478,1,1,1,7854,1,91.18,103.9111111,1,NA,0,NA,bug,0,0,0,0,0,0,0,0,1,0,0,0,0,NT,NT,NT,NT,NT,NT,NT,NT,NT
php,2011-12-04-b3ad0b7af7-1d6c98a136,,https://bugs.php.net/bug.php?id=60444,1,1,5,7855,1,43.55,0.286111111,1,NA,0,NA,bug,0,0,0,1,0,0,1,0,0,0,1,1,1,NT,NT,NT,NT,NT,NT,NT,NT,NT
php,2011-12-06-5087b0ee42-ac631dd580,,https://bugs.php.net/bug.php?id=51994,1,3,86,7857,2,65.2,549.7618056,1,NA,0,NA,bug,0,0,1,1,1,1,1,1,0,1,0,0,0,NT,NT,NT,NT,NT,NT,NT,NT,NT
php,2011-12-10-74343ca506-52c36e60c4,,https://bugs.php.net/bug.php?id=60455,1,1,1,7861,3,74.52,269.2597222,1,NA,0,NA,bug,0,0,0,0,0,1,0,0,0,0,1,1,1,NT,NT,NT,NT,NT,NT,NT,NT,NT
php,2011-12-17-db63456a8d-3dc9f0abe6,,NA,0,1,4,7866,5,18.89,NA,NA,NA,NA,NA,bug,0,0,0,0,1,0,1,1,0,0,1,1,1,NT,NT,NT,NT,NT,NT,NT,NT,NT
php,2011-12-18-beda5efd41-622412d8e6,,https://bugs.php.net/bug.php?id=60362,1,1,18,7876,10,NA,27.375,1,NA,NA,NA,bug,0,0,0,0,1,0,0,1,0,0,0,1,1,NT,NT,NT,NT,NT,NT,NT,NT,NT
php,2012-01-01-7c3177e5ab-e2a2ed348f,,https://bugs.php.net/bug.php?id=55871,1,1,11,7884,1,87.35,1296.134722,1,NA,0,NA,bug,0,0,0,0,0,0,0,1,0,0,1,1,1,NT,NT,NT,NT,NT,NT,NT,NT,NT
php,2012-01-01-80dd931d40-7c3177e5ab,,https://bugs.php.net/bug.php?id=55500 (bug marked private),1,1,3,7883,1,82.26,NA,NA,NA,NA,NA,bug,0,0,0,0,0,0,0,1,0,0,0,0,0,NT,NT,NT,NT,NT,NT,NT,NT,NT
php,2012-01-13-583292ab22-d74a258f24,,https://bugs.php.net/bug.php?id=60573,1,1,45,7887,1,20.73,72.69166667,1,NA,0,NA,bug,0,0,0,0,1,1,1,1,0,0,1,1,1,NT,NT,NT,NT,NT,NT,NT,NT,NT
php,2012-01-16-36df53421e-f32760bd40,,https://bugs.php.net/bug.php?id=60768,1,1,5,7888,1,65.68,0.318,1,NA,NA,NA,bug,0,0,0,0,1,0,0,0,0,0,0,1,1,NT,NT,NT,NT,NT,NT,NT,NT,NT
php,2012-01-16-f32760bd40-032d140fd6,,NA,0,4,1341,7889,1,84.47,NA,NA,NA,NA,NA,bug,0,0,1,0,1,1,0,1,0,0,0,1,1,NT,NT,NT,NT,NT,NT,NT,NT,NT
php,2012-01-17-032d140fd6-877f97cde1,,https://bugs.php.net/bug.php?id=55214,1,1,5,7890,1,31.57,94.65416667,1,NA,0,NA,bug,0,0,0,0,1,0,0,0,0,0,1,1,1,NT,NT,NT,NT,NT,NT,NT,NT,NT
php,2012-01-17-e76c1cc03c-ebddf8a975,,https://bugs.php.net/bug.php?id=48034,1,1,38,7890,1,75.85,1067.477778,8,NA,0,NA,bug,0,0,0,0,0,0,0,0,0,1,0,0,0,NT,NT,NT,NT,NT,NT,NT,NT,NT
php,2012-01-27-544e36dfff-acaf9c5227,,https://bugs.php.net/bug.php?id=60860,1,1,5,7879,1,99.43,5.011111111,1,NA,0,NA,bug,0,0,0,0,1,0,0,1,0,0,0,0,0,NT,NT,NT,NT,NT,NT,NT,NT,NT
php,2012-01-29-d8b312845c-dc27324dd9,,https://bugs.php.net/bug.php?id=55226,1,1,99,7881,1,72.47,194.9805556,1,NA,0,NA,feature,0,0,0,0,1,0,1,1,1,1,0,0,0,NT,NT,NT,NT,NT,NT,NT,NT,NT
php,2012-01-30-9de5b6dc7c-4dc8b1ad11,,https://bugs.php.net/bug.php?id=60801,1,1,8,7926,1,87.26,42.75,1,NA,NA,NA,bug,0,0,0,1,0,1,1,1,1,0,1,1,1,NT,NT,NT,NT,NT,NT,NT,NT,NT
php,2012-02-08-ff63c09e6f-6672171672,,https://bugs.php.net/bug.php?id=61000,1,1,1,7887,1,73.19,23.73,1,NA,NA,NA,bug,0,0,0,0,1,0,0,0,0,0,1,1,1,NT,NT,NT,NT,NT,NT,NT,NT,NT
php,2012-02-12-3d898cfa3f-af92365239,,https://bugs.php.net/bug.php?id=61058,1,1,6,7914,1,88.13,19.32638889,1,NA,0,NA,bug,0,0,0,0,1,1,0,0,0,0,1,1,1,NT,NT,NT,NT,NT,NT,NT,NT,NT
php,2012-02-18-0a91432828-032bbc3164,,NA,0,1,3,7934,20,71.93,NA,NA,NA,NA,NA,bug,0,0,0,0,0,0,0,0,1,0,0,0,0,NT,NT,NT,NT,NT,NT,NT,NT,NT
php,2012-02-20-0cb26060af-eefefddc0e,,https://bugs.php.net/bug.php?id=61095,1,1,186,7909,1,76.32,8.352777778,1,NA,0,NA,bug,0,0,0,0,0,0,0,1,0,0,1,1,1,NT,NT,NT,NT,NT,NT,NT,NT,NT
php,2012-02-25-38b549ea2f-1923ecfe25,,https://bugs.php.net/bug.php?id=61165,1,1,3,7938,1,68.37,8.488888889,1,NA,0,NA,bug,0,0,0,0,1,0,0,0,0,0,1,1,1,NT,NT,NT,NT,NT,NT,NT,NT,NT
php,2012-02-25-c1322d2505-cfa9c90b20,,https://bugs.php.net/bug.php?id=61165,1,1,7,7937,1,67.94,8.488888889,1,NA,0,NA,bug,0,0,0,0,1,0,1,0,0,0,1,1,1,NT,NT,NT,NT,NT,NT,NT,NT,NT
php,2012-03-02-730b54a374-1953161b8c,,https://bugs.php.net/bug.php?id=61225,1,1,189,7940,1,13.7,0.303472222,1,NA,0,NA,bug,0,0,0,0,0,0,0,1,0,0,1,1,1,NT,NT,NT,NT,NT,NT,NT,NT,NT
php,2012-03-04-60dfd64bf2-34fe62619d,,https://bugs.php.net/bug.php?id=60911,1,1,1,7935,1,NA,36.54861111,1,NA,0,NA,bug,0,0,0,1,0,0,0,0,0,0,1,1,1,NT,NT,NT,NT,NT,NT,NT,NT,NT
php,2012-03-04-bda5ea7111-60dfd64bf2,,https://bugs.php.net/bug.php?id=60717,1,1,17,7934,2,47.6,53.04305556,1,NA,0,NA,bug,0,0,0,0,1,1,1,0,0,1,1,1,1,NT,NT,NT,NT,NT,NT,NT,NT,NT
php,2012-03-06-6237456cae-5e80c05deb,,https://bugs.php.net/bug.php?id=61173,1,1,16,7937,1,53.55,12.45833333,1,NA,0,NA,bug,0,0,1,1,1,0,0,0,1,1,0,0,0,NT,NT,NT,NT,NT,NT,NT,NT,NT
php,2012-03-08-0169020e49-cdc512afb3,,https://bugs.php.net/bug.php?id=61253,1,1,1,7941,4,83.21,6.875,1,NA,0,NA,bug,0,0,0,0,1,0,0,0,0,0,0,0,0,NT,NT,NT,NT,NT,NT,NT,NT,NT
php,2012-03-08-d54e6ce832-23e65a9dcc,,https://bugs.php.net/bug.php?id=61326,1,1,21,7942,1,2.08,2.080555556,1,NA,0,NA,bug,0,0,0,0,1,0,1,1,0,1,0,0,0,NT,NT,NT,NT,NT,NT,NT,NT,NT
php,2012-03-10-23e65a9dcc-e6ec1fb166,,https://bugs.php.net/bug.php?id=61347,1,1,10,7943,1,80.21,0.136805556,1,NA,0,NA,bug,0,0,0,1,0,1,1,0,0,0,0,0,0,NT,NT,NT,NT,NT,NT,NT,NT,NT
php,2012-03-11-3954743813-d4f05fbffc,,https://bugs.php.net/bug.php?id=60569,1,1,1,7943,1,62.18,121.89,1,NA,NA,NA,bug,0,0,0,0,1,0,0,0,0,0,1,0,1,NT,NT,NT,NT,NT,NT,NT,NT,NT
php,2012-03-12-438a30f1e7-7337a901b7,,https://bugs.php.net/bug.php?id=60222,1,1,8,7946,3,74.9,128.7868056,1,NA,0,NA,bug,0,0,0,0,1,0,0,1,0,0,1,0,1,NT,NT,NT,NT,NT,NT,NT,NT,NT
php,2012-03-12-7aefbf70a8-efc94f3115,,https://bugs.php.net/bug.php?id=61374,1,1,1,7947,1,83.97,0.136805556,1,NA,0,NA,bug,0,0,0,0,0,1,0,0,0,0,0,1,0,NT,NT,NT,NT,NT,NT,NT,NT,NT
php,2012-03-19-53e3467ff2-9a460497da,,https://bugs.php.net/bug.php?id=60455 https://bugs.php.net/bug.php?id=60817,1,1,61,7949,4,NA,269.2597222,1,NA,0,NA,bug,0,0,0,0,1,0,1,1,1,1,0,0,0,NT,NT,NT,NT,NT,NT,NT,NT,NT
php,2012-03-22-3efc9f2f78-2e19cccad7,,https://bugs.php.net/bug.php?id=61418 https://bugs.php.net/bug.php?id=61482,1,1,22,7951,4,82.26,6.756944444,1,NA,0,NA,bug,0,0,0,0,1,1,0,0,0,0,1,1,1,NT,NT,NT,NT,NT,NT,NT,NT,NT
python,69223-69224,69223-69224,http://bugs.python.org/issue11757,1,1,5,285,1,5.97,824.0446991,1,2,0,NA,bug,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,plausible,,,,plausible,plausible
python,69368-69372,69368-69372,http://bugs.python.org/issue5057,1,1,12,293,1,79.9,1379.25,2,2,0,NA,bug,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,,,,,plausible,plausible
python,69470-69474,69470-69474,http://bugs.python.org/issue11828,1,3,45,297,1,61.37,210.7319444,4,2,0,NA,bug,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,plausible
python,69609-69616,,NA,0,8,151,296,1,NA,NA,NA,2,NA,NA,bug,0,1,1,0,1,1,1,1,0,0,0,0,0,NT,NT,NT,,,,,,
python,69709-69710,69709-69710,http://bugs.python.org/issue11223,1,3,74,301,1,72.78,126.9145833,1,NA,0,NA,bug,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,,,,,plausible,plausible
python,69740-69743,,http://bugs.python.org/issue9756,1,1,6,302,1,78.11,241,3,2,0,NA,bug,0,0,0,1,1,1,0,0,0,0,0,0,0,NT,NT,NT,,,,,,
python,69783-69784,69783-69784,http://bugs.python.org/issue11930,1,2,40,303,1,61.46,6.060416667,1,2,0,NA,bug,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,correct,correct,correct,correct,correct,plausible
python,69785-69789,,NA,0,2,16,304,1,8.93,NA,NA,NA,NA,NA,feature,0,0,0,0,0,0,1,0,0,0,0,0,0,NT,NT,NT,,,,,,
python,69831-69833,69831-69833,http://bugs.python.org/issue1856,1,2,10,305,1,45.33,2499.961111,2,2,0,NA,bug,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,,,plausible,,,
python,69934-69935,69934-69935,http://bugs.python.org/issue8407,1,1,5,313,1,62.1,715.7666667,1,NA,0,NA,feature,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,
python,69945-69946,69945-69946,http://bugs.python.org/issue11888,1,1,41,314,1,86.64,21.64652778,1,NA,0,NA,feature,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,,,,,,
python,70019-70023,70019-70023,http://bugs.python.org/issue12051,1,1,13,316,1,7.21,0.255555556,1,2,0,NA,bug,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,,,,,plausible,plausible
python,70056-70059,70056-70059,http://bugs.python.org/issue12062,1,1,1,319,1,64.07,17.59236111,4,5,0,NA,bug,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,,plausible,plausible,,,
python,70098-70101,70098-70101,http://bugs.python.org/issue12050,1,1,6,320,1,4.15,6.742361111,4,2,0,NA,bug,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,plausible,,,plausible,plausible,plausible
python,70120-70124,,http://bugs.python.org/issue12059,1,1,23,320,1,49.01,3.151388889,2,2,0,NA,bug,0,1,0,0,1,0,0,0,0,0,0,0,0,NT,NT,NT,,,,,,
valgrind,11613-11614,,https://bugs.kde.org/show_bug.cgi?id=267968,1,2,18,462,1,NA,10.775,1,2,0,NA,bug,1,0,0,0,1,0,0,1,0,0,0,0,0,NT,NT,NT,,,,,,
valgrind,11620-11619,,NA,0,1,15,462,3,NA,NA,NA,NA,NA,NA,bug,0,0,0,0,1,0,1,0,0,0,0,1,1,NT,NT,NT,,plausible,plausible,,,
valgrind,11621-11622,,NA,0,1,22,462,3,NA,NA,NA,NA,NA,NA,bug,0,0,0,0,1,0,0,1,0,0,0,0,1,NT,NT,NT,,,plausible,,,
valgrind,11623-11624,,https://bugs.kde.org/show_bug.cgi?id=243935,1,1,6,463,1,NA,557.1826389,1,2,0,NA,bug,0,0,0,1,0,0,0,0,0,0,0,0,0,NT,NT,NT,,,,,,
valgrind,11625-11627,,NA,0,2,32,480,1,NA,NA,NA,NA,NA,NA,feature,0,0,0,0,1,1,1,1,0,0,0,0,0,NT,NT,NT,,,,,,
valgrind,11635-11636,,NA,0,2,14,483,3,NA,NA,NA,NA,NA,NA,feature,0,0,0,1,1,1,1,1,0,0,0,0,0,NT,NT,NT,,,,,,
valgrind,11636-11640,,NA,0,2,22,468,1,NA,NA,NA,NA,NA,NA,bug,0,0,0,1,1,1,0,1,0,0,0,0,0,NT,NT,NT,,,,,,
valgrind,11771-11770,,https://bugs.kde.org/show_bug.cgi?id=214909,1,5,49,506,1,NA,588.25,NA,NA,0,NA,feature,0,0,0,0,1,0,0,1,0,0,0,0,1,NT,NT,NT,,,plausible,,,
valgrind,11817-11818,,https://bugs.kde.org/show_bug.cgi?id=214909,1,1,5,512,1,NA,588.2506944,1,2,0,NA,bug,0,0,0,0,0,0,0,1,0,0,0,1,1,NT,NT,NT,,plausible,plausible,,,
valgrind,11821-11822,,NA,0,3,28,493,2,NA,NA,NA,NA,NA,NA,bug,0,0,0,0,1,0,0,1,0,0,0,0,0,NT,NT,NT,,,,,,
valgrind,12410-12411,,https://bugs.kde.org/show_bug.cgi?id=294047,1,2,53,549,2,NA,203.5430556,1,2,0,NA,bug,0,0,0,0,1,1,0,1,0,0,0,0,0,NT,NT,NT,,,,,,
valgrind,12474-12473,,https://bugs.kde.org/show_bug.cgi?id=297147,1,1,22,539,1,NA,71.558,1,2,0,NA,bug,1,0,0,0,1,0,1,0,0,0,0,0,1,NT,NT,NT,,,plausible,,,
valgrind,12474-12475,,NA,0,1,2,554,1,NA,NA,NA,NA,NA,NA,feature,0,0,0,0,0,1,0,0,0,0,0,1,1,NT,NT,NT,,plausible,plausible,,,
valgrind,12641-12642,,https://bugs.kde.org/show_bug.cgi?id=203877,1,1,2,540,1,NA,1036.104,1,5,0,NA,bug,0,0,0,0,0,1,0,0,0,0,0,0,1,NT,NT,NT,,,plausible,,,
valgrind,12854-12855,,NA,0,1,4,565,1,NA,NA,NA,NA,NA,NA,bug,0,1,0,0,0,0,0,0,0,0,0,0,0,NT,NT,NT,,,,,,
wireshark,35419-35414,35419-35414,NA,0,3,949,59,52,NA,NA,NA,NA,NA,NA,bug,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,,,,,,
wireshark,37112-37111,37112-37111,NA,0,1,35,61,1,1.63,NA,NA,NA,NA,NA,bug,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,plausible,plausible,plausible,plausible,plausible,plausible
wireshark,37122-37123,,NA,0,1,35,61,1,23.4,NA,NA,NA,NA,NA,bug,0,0,1,0,0,1,0,0,0,0,1,1,1,NT,NT,NT,plausible,plausible,plausible,,,
wireshark,37171-37170,37171-37170,NA,0,1,381,61,4,NA,NA,NA,NA,NA,NA,bug,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,
wireshark,37172-37171,37172-37171,NA,0,1,5,57,2,NA,NA,NA,NA,NA,NA,bug,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,plausible,plausible,plausible,plausible,plausible,plausible
wireshark,37172-37173,37172-37173,NA,0,1,2,57,2,NA,NA,NA,NA,NA,NA,bug,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,plausible,plausible,plausible,plausible,plausible,plausible
wireshark,37190-37191,37190-37191,NA,0,1,162,61,4,NA,NA,NA,NA,NA,NA,feature,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,,,,,,
wireshark,37284-37285,37284-37285,NA,0,1,3,61,2,NA,NA,NA,NA,NA,NA,feature,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,plausible,plausible,plausible,plausible,plausible,plausible
