Project,DefectId,FileCount,LineCount,RelevantTestCount,TriggeringTestCount,StatementCoverage,TimeToFix,Versions,Priority,Dependents,Reproducibility,ChangesType,ChangesMethodSignature,ChangesMethodCallArgs,AddsMethodCall,ChangesCondition,AddsVariable,AddsIfStmt,AddsLoop,AddsMethod,IssueReportLink,BugOrFeature,IsRegression,PatchFound:GenProgJava,PatchFound:KaliJava,PatchFound:Nopol,PatchQuality:GenProgJava,PatchQuality:KaliJava,PatchQuality:Nopol
Math,59,1,1,1727,1,87,0.0063541667,4,3,0,NA,0,0,1,0,0,0,0,0,0,https://issues.apache.org/jira/browse/MATH-482,bug,0,0,0,0,NA,NA,NA
Math,60,1,10,26,1,82.6,91.03819444,2,2,0,NA,1,0,0,0,1,0,1,0,0,https://issues.apache.org/jira/browse/MATH-414,bug,0,0,0,0,NA,NA,NA
Math,61,1,2,12,1,87.5,205.2471644,1,2,0,NA,0,1,0,0,0,0,0,0,0,https://issues.apache.org/jira/browse/MATH-349,bug,0,0,0,0,NA,NA,NA
Math,62,1,4,2,1,66.7,531.89375,1,3,3,NA,1,0,1,1,0,1,0,0,0,https://issues.apache.org/jira/browse/MATH-413,bug,0,0,0,0,NA,NA,NA
Math,63,1,1,907,1,91.2,117.09375,1,2,0,NA,0,0,1,0,0,0,0,0,0,https://issues.apache.org/jira/browse/MATH-370,bug,0,0,0,0,NA,NA,NA
Math,64,1,28,57,2,98.2,0.0154513889,1,3,0,NA,1,0,1,1,1,0,0,0,0,https://issues.apache.org/jira/browse/MATH-405,bug,0,0,0,0,NA,NA,NA
Math,65,2,8,77,1,94.5,38.44652778,2,3,0,NA,1,0,0,0,0,1,0,1,0,https://issues.apache.org/jira/browse/MATH-377,bug,0,0,0,0,NA,NA,NA
Math,66,1,33,10,4,97,2.613888889,2,3,0,NA,1,0,1,1,0,1,1,1,1,https://issues.apache.org/jira/browse/MATH-395,bug,0,0,0,0,NA,NA,NA
Math,67,1,2,2,1,73.3,0.5118055556,1,1,0,NA,1,0,0,0,0,0,0,0,0,https://issues.apache.org/jira/browse/MATH-393,bug,0,0,0,0,NA,NA,NA
Math,68,1,12,44,2,98.2,53.27638889,3,3,0,NA,1,0,0,1,1,0,0,0,0,https://issues.apache.org/jira/browse/MATH-362,bug,0,0,0,0,NA,NA,NA
Math,69,1,1,17,2,98.6,3.166666667,2,3,0,NA,1,0,0,0,0,0,0,0,0,https://issues.apache.org/jira/browse/MATH-371,bug,0,0,0,1,NA,NA,incorrect
Math,70,1,1,16,1,91.3,0.1215277778,1,2,0,NA,0,0,1,0,0,0,0,0,0,https://issues.apache.org/jira/browse/MATH-369,bug,0,1,0,0,correct,NA,NA
Math,71,4,15,116,2,100,0.1993055556,2,4,0,NA,1,0,0,1,0,0,0,0,0,https://issues.apache.org/jira/browse/MATH-358,bug,0,1,0,1,incorrect,NA,incorrect
Math,72,1,2,214,1,93.1,0.0323842593,1,4,0,NA,0,0,1,0,0,0,0,0,0,https://issues.apache.org/jira/browse/MATH-344,bug,0,0,0,0,NA,NA,NA
Math,73,1,4,214,1,92,0.0288194444,2,4,0,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/MATH-343,bug,0,1,0,1,correct,NA,incorrect
Math,74,1,7,56,1,99.2,0.1791666667,2,3,0,NA,1,0,0,0,0,0,0,1,0,https://issues.apache.org/jira/browse/MATH-338,bug,0,0,0,0,NA,NA,NA
Math,75,1,1,8,1,87,0.0069444444,2,2,0,NA,0,0,0,1,0,0,0,0,0,https://issues.apache.org/jira/browse/MATH-329,bug,0,0,0,0,NA,NA,NA
Math,76,1,14,17,2,96,51.09166667,2,3,0,NA,1,0,1,0,0,0,0,0,0,https://issues.apache.org/jira/browse/MATH-320,bug,0,0,0,0,NA,NA,NA
Math,77,2,10,346,2,59.8,0.5118055556,2,3,0,NA,1,0,0,0,0,0,0,0,1,https://issues.apache.org/jira/browse/MATH-326,bug,0,0,0,0,NA,NA,NA
Math,78,1,11,118,1,84.1,0.0031134259,2,3,0,NA,1,0,0,0,1,0,0,1,0,https://issues.apache.org/jira/browse/MATH-322,bug,0,1,1,1,incorrect,incorrect,incorrect
Math,79,1,2,866,1,99.5,0.1666666667,2,3,0,NA,1,0,0,0,0,0,0,0,0,https://issues.apache.org/jira/browse/MATH-305,bug,0,0,0,0,NA,NA,NA
Math,80,1,1,36,1,93,0.0022106481,2,3,0,NA,1,0,0,0,0,0,0,0,0,https://issues.apache.org/jira/browse/MATH-318,bug,0,1,1,1,incorrect,incorrect,incorrect
Math,81,1,4,35,1,89.3,8.995138889,2,3,0,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/MATH-308,bug,0,1,1,1,incorrect,incorrect,incorrect
Math,82,1,1,14,1,96.7,0.3333333333,2,3,0,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/MATH-288,bug,0,1,1,1,incorrect,incorrect,incorrect
Math,83,1,3,17,1,91.9,14.08541667,2,3,0,NA,0,0,1,1,0,0,0,0,0,https://issues.apache.org/jira/browse/MATH-286,bug,0,0,0,0,NA,NA,NA
Math,84,1,9,5,2,100,1,2,5,0,NA,0,0,0,0,0,1,1,1,0,https://issues.apache.org/jira/browse/MATH-283,bug,0,1,1,0,incorrect,incorrect,NA
Math,85,1,1,92,1,93.9,0.4958333333,2,3,0,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/MATH-280,bug,0,1,1,1,incorrect,incorrect,incorrect
Math,86,1,6,12,2,97.3,0.0327893519,2,2,0,NA,0,0,0,0,1,0,1,0,0,https://issues.apache.org/jira/browse/MATH-274,bug,0,0,0,0,NA,NA,NA
Math,87,1,4,16,1,92.4,0.1631944444,2,3,0,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/MATH-273,bug,0,0,0,1,NA,NA,incorrect
Math,88,1,6,15,1,92.4,3.775694444,2,3,0,NA,1,0,0,0,1,0,1,1,0,https://issues.apache.org/jira/browse/MATH-272,bug,0,0,0,1,NA,NA,incorrect
Math,89,1,4,7,1,99.1,19.19097222,0,3,1,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/MATH-259,bug,0,0,0,0,NA,NA,NA
Math,90,1,3,7,1,99.1,19.19097222,0,3,1,NA,0,0,0,1,0,0,0,0,1,https://issues.apache.org/jira/browse/MATH-259,bug,0,0,0,0,NA,NA,NA
Math,91,1,2,62,1,96.6,0.0013657407,2,3,0,NA,1,0,0,0,0,0,0,0,0,https://issues.apache.org/jira/browse/MATH-252,bug,0,0,0,0,NA,NA,NA
Math,92,1,49,547,1,93,3.013194444,2,3,0,NA,0,0,0,0,1,1,1,0,0,https://issues.apache.org/jira/browse/MATH-241,bug,0,0,0,0,NA,NA,NA
Math,93,1,10,546,1,92.8,2.875,2,2,0,NA,0,0,0,0,1,1,1,0,0,https://issues.apache.org/jira/browse/MATH-240,bug,0,0,0,0,NA,NA,NA
Math,94,1,1,546,1,92.8,0.0297685185,1,2,0,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/MATH-238,bug,0,0,0,0,NA,NA,NA
Math,95,1,3,23,1,100,0.7833333333,1,2,0,NA,0,0,0,0,0,0,1,0,0,https://issues.apache.org/jira/browse/MATH-227,bug,0,1,1,0,incorrect,incorrect,NA
Math,96,1,1,171,1,97.7,0.0972222222,1,2,0,NA,1,0,0,0,0,0,0,0,0,https://issues.apache.org/jira/browse/MATH-221,bug,0,0,0,0,NA,NA,NA
Math,97,1,16,129,1,93,0.7104166667,2,2,0,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/MATH-204,bug,0,0,0,1,NA,NA,incorrect
Math,98,2,2,133,2,86,0.0013888889,1,3,0,NA,1,0,0,0,0,0,0,0,0,https://issues.apache.org/jira/browse/MATH-209,bug,0,0,0,0,NA,NA,NA
Math,99,1,8,560,2,98.9,30.69375,0,2,0,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/MATH-243,bug,0,0,0,0,NA,NA,NA
Math,100,1,3,48,1,100,2.908333333,1,4,0,NA,1,0,0,0,0,0,0,0,0,https://issues.apache.org/jira/browse/MATH-200,bug,0,0,0,0,NA,NA,NA
Math,101,1,2,70,2,85.7,4.553472222,1,3,0,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/MATH-198,bug,0,0,0,0,NA,NA,NA
Math,102,1,17,30,6,91.7,36.11458333,1,3,0,NA,1,0,0,0,1,0,0,1,0,https://issues.apache.org/jira/browse/MATH-175,bug,0,0,0,0,NA,NA,NA
Math,103,1,10,20,1,97.2,143.4361111,1,2,0,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/MATH-167,bug,0,0,0,0,NA,NA,NA
Math,104,2,2,133,1,93.5,16.53402778,2,2,0,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/MATH-166,feature,0,0,0,1,NA,NA,incorrect
Math,105,1,1,9,1,100,69.50694444,1,3,0,NA,1,0,0,0,0,0,0,0,0,https://issues.apache.org/jira/browse/MATH-85,bug,0,0,0,1,NA,NA,incorrect
Math,106,1,8,16,1,84.2,22.24722222,1,3,0,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/MATH-60,bug,0,0,0,0,NA,NA,NA
Time,1,2,13,4011,1,92.9,3,NA,NA,NA,NA,0,0,0,0,1,0,1,0,0,https://github.com/JodaOrg/joda-time/issues/93,bug,0,0,0,0,NA,NA,NA
Time,2,2,7,4011,1,92.8,3,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,https://github.com/JodaOrg/joda-time/issues/93,bug,0,0,0,0,NA,NA,NA
Time,3,1,20,1307,5,99.2,43,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,https://github.com/JodaOrg/joda-time/issues/77,bug,0,0,0,0,NA,NA,NA
Time,4,1,1,770,1,100,2,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,https://github.com/JodaOrg/joda-time/issues/88,bug,0,1,1,0,incorrect,incorrect,NA
Time,5,1,12,1950,3,100,15,NA,NA,NA,NA,0,0,0,0,1,0,1,0,0,https://github.com/JodaOrg/joda-time/issues/79,bug,0,0,0,0,NA,NA,NA
Time,6,1,26,2663,5,81.5,95,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,https://github.com/JodaOrg/joda-time/issues/28,bug,0,0,0,0,NA,NA,NA
Time,7,1,1,2703,2,95.2,78,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,https://github.com/JodaOrg/joda-time/issues/21,bug,0,0,0,0,NA,NA,NA
Time,8,1,5,3950,1,93.2,2,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,https://github.com/JodaOrg/joda-time/issues/42,bug,0,0,0,0,NA,NA,NA
Time,9,1,9,3950,1,94,3,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,https://github.com/JodaOrg/joda-time/issues/43,bug,0,0,0,0,NA,NA,NA
Time,10,1,2,371,2,97.1,40,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,https://github.com/JodaOrg/joda-time/issues/22,bug,0,0,0,0,NA,NA,NA
Time,11,1,5,8,1,81.3,1,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,https://github.com/JodaOrg/joda-time/issues/18,bug,0,1,1,1,incorrect,incorrect,incorrect
Time,12,2,14,1674,8,93.2,7,NA,NA,NA,NA,0,0,1,0,1,0,0,0,0,https://github.com/JodaOrg/joda-time/issues/8,bug,0,0,0,0,NA,NA,NA
Time,13,1,5,972,1,87,713,NA,4,NA,NA,1,0,0,0,1,0,0,0,0,https://sourceforge.net/p/joda-time/bugs/160/,bug,0,0,0,0,NA,NA,NA
Time,14,1,5,3877,8,74.5,973,NA,2,NA,NA,0,0,0,0,1,0,0,0,0,https://sourceforge.net/p/joda-time/bugs/151/,bug,0,0,0,0,NA,NA,NA
Time,15,1,3,3640,1,88.4,169,NA,2,NA,NA,0,0,0,0,1,0,0,0,0,https://sourceforge.net/p/joda-time/bugs/147/,bug,0,0,0,0,NA,NA,NA
Time,16,1,1,2596,7,95.2,164,NA,2,NA,NA,0,0,1,0,0,0,0,0,0,https://sourceforge.net/p/joda-time/bugs/148/,bug,0,0,0,0,NA,NA,NA
Time,17,1,18,3865,1,93.5,263,NA,2,NA,NA,1,0,0,0,0,0,0,0,0,https://sourceforge.net/p/joda-time/bugs/141/,bug,0,0,0,0,NA,NA,NA
Time,18,1,12,2546,1,81.6,313,NA,4,NA,NA,1,0,0,0,1,0,0,0,0,https://sourceforge.net/p/joda-time/bugs/130/,bug,0,0,0,0,NA,NA,NA
Time,19,1,1,3853,1,93.5,943,NA,2,NA,NA,0,0,0,0,1,0,0,0,0,https://sourceforge.net/p/joda-time/bugs/124/,bug,0,0,0,0,NA,NA,NA
Time,20,1,8,2577,1,77.3,1164,NA,2,NA,NA,1,0,0,0,1,0,0,0,0,https://sourceforge.net/p/joda-time/bugs/126/,bug,0,0,0,0,NA,NA,NA
Time,21,1,16,3848,2,100,383,NA,2,NA,NA,1,0,1,0,1,0,0,1,0,https://sourceforge.net/p/joda-time/bugs/122/,bug,0,0,0,0,NA,NA,NA
Time,22,3,10,1875,2,100,558,NA,2,NA,NA,1,0,0,1,0,0,0,0,0,https://sourceforge.net/p/joda-time/bugs/113/,bug,0,0,0,0,NA,NA,NA
Time,23,1,13,3810,1,93.5,573,NA,2,NA,NA,1,0,0,0,0,0,0,0,0,https://sourceforge.net/p/joda-time/bugs/112/,bug,0,0,0,0,NA,NA,NA
Time,24,1,5,1038,7,88.7,1115,NA,2,NA,NA,0,0,0,0,1,0,0,0,0,https://sourceforge.net/p/joda-time/bugs/107/,bug,0,0,0,0,NA,NA,NA
Time,25,1,9,3792,3,93.5,87,NA,2,NA,NA,0,0,0,0,1,0,0,0,0,https://sourceforge.net/p/joda-time/bugs/90/,bug,0,0,0,0,NA,NA,NA
Time,26,2,8,3781,8,84.2,1450,NA,2,NA,NA,0,0,1,0,0,0,0,0,0,"https://sourceforge.net/p/joda-time/bugs/60/ (oldest out of bugs 3102760,2182444,2553453)",bug,0,0,0,0,NA,NA,NA
Time,27,1,2,739,1,87.1,423,NA,1,NA,NA,0,0,0,0,1,0,0,0,0,https://sourceforge.net/p/joda-time/bugs/64/,bug,0,0,0,0,NA,NA,NA
